,0,1,2,3,4,5,6,7,8,9,genre
pop.00091.wav,0.000215551583096385,0.9964529275894165,1.0608570164549747e-06,7.272930815815926e-06,0.0007532438030466437,1.558838391702011e-08,5.168050483916886e-05,2.9430796644192014e-07,1.3279347399475228e-07,0.002517955144867301,pop
pop.00085.wav,7.384013588307425e-05,0.995337724685669,8.94499407877447e-06,0.003997304942458868,0.000503384624607861,3.1573276260132843e-07,2.1087750212700485e-07,7.533503321610624e-06,1.8622709774263058e-07,7.062040094751865e-05,pop
pop.00052.wav,1.50905918872013e-08,0.9936449527740479,2.4027404510462702e-09,4.5973654778208584e-05,3.7511509276555444e-07,6.381412065437075e-10,2.2284972089892108e-08,2.37836483840681e-09,4.419160176682979e-11,0.0063087912276387215,pop
pop.00046.wav,6.6844336288340855e-06,0.9792166352272034,1.940565198310651e-06,0.0033002167474478483,0.00225461577065289,3.6367819689075986e-07,1.831890159564864e-07,1.0830666724359617e-05,1.1029766966430543e-07,0.015208224765956402,pop
pop.00047.wav,4.029920091852546e-06,0.9989166259765625,2.0511147624802106e-07,6.914071093433449e-08,0.0010608377633616328,2.5818286397694123e-10,2.3570967186969938e-06,2.4035401224864472e-08,5.4979478747441135e-09,1.5690220607211813e-05,pop
pop.00053.wav,1.1298514436930418e-05,0.9978634715080261,5.512419647857314e-06,0.0006847995682619512,0.0010119070066139102,1.091570425160171e-07,3.2457450060974224e-07,6.334208819680498e-07,6.629741733377159e-07,0.00042118364945054054,pop
pop.00084.wav,0.000147852479130961,0.8914363980293274,9.475443789597193e-07,0.10621047019958496,5.521743332792539e-06,8.335477104992606e-06,4.5741117560282873e-08,0.00011592399096116424,1.1158345358808219e-07,0.0020745936781167984,pop
pop.00090.wav,0.0045251790434122086,0.3503994941711426,4.676349085741549e-09,2.102215823640563e-08,8.10585021326915e-08,4.848824897152326e-09,1.3276996924105333e-06,0.6450735926628113,3.0787427363065945e-07,1.3639466445170001e-08,country
pop.00086.wav,0.018970558419823647,0.9763926267623901,3.000769174832385e-05,3.5118982850690372e-06,0.0036466671153903008,1.3794951314594073e-07,9.744497219799086e-06,0.0008567735203541815,6.208092031556589e-07,8.929718023864552e-05,pop
pop.00092.wav,1.3257863429316785e-07,0.9922124743461609,1.5543947995411145e-07,6.284049192117891e-08,0.007785212714225054,1.8641113652684282e-10,6.995153967181977e-07,5.3152589885030466e-08,2.104265428570784e-09,1.2156781394878635e-06,pop
pop.00045.wav,1.0507871195386542e-07,0.9960213303565979,2.393783518073178e-07,0.0011306118685752153,0.002267735078930855,5.313249573646317e-08,1.6354780640881472e-08,3.944990567106288e-06,1.3364637396762191e-08,0.0005760870990343392,pop
